,,,,ODI BOWLING IN EACH SEASON BY WAQAR YOUNIUS,,,,,,,,,,
,,,,,,,,,,,,,,
Season,Country,Balls,Mdns,runs,Wickets,BB,AVG,4WI,5WI,Srate,Econ,,,
1989-90,India,234,6,159,4,26-Jun,9.3,1,2,16.8,3.32,,,
1989-90,UAE,336,5,186,20,21-Mar,12,0,0,16.5,4.36,,,
1989-90,PAKISTAN,66,0,48,4,Apr-39,32.77,1,0,46,4.27,,,
1989-90,AUSTRIALIA,414,5,259,9,11-May,8.72,0,3,14.33,3.65,,,
1990-91,Pakistan,258,4,157,18,25-Mar,15,0,0,25.5,3.52,,,
1990-91,UAE,102,1,60,4,13-Feb,38.57,0,0,49.71,4.65,,,
1991-92,PAKISTAN,348,4,270,7,Apr-39,21.72,2,0,26.18,4.97,,,
1991-92,UAE,288,3,239,11,Apr-73,18.55,1,0,18.88,5.89,,,
1992,England,170,0,167,9,27-Feb,43.2,0,0,55.2,4.69,,,
1992-93,West-Indies,276,5,216,5,26-Feb,24.75,0,0,45,3.3,,,
1992-93,UAE,180,3,99,4,29-Mar,25,0,0,38.18,3.92,,,
1992-93,AUSTRIALIA,420,102,275,11,25-May,15.43,0,1,20.87,4.43,,,
1992-93,South-Africa,334,1,247,16,31-Mar,10.33,0,0,16.33,3.79,,,
1992-93,Zinbabwe,49,4,31,3,27-Jan,38.5,0,0,81,2.85,,,
1992-93,New-Zealand,162,3,77,2,30-Jun,12.54,0,1,21.72,3.46,,,
1993-94,New-Zealand,239,0,138,11,Jan-57,122,0,0,91,8.04,,,
1993-94,UAE,91,0,122,1,Feb-46,44.5,0,0,45,5.93,,,
1993-94,PAKISTAN,90,6,89,2,Mar-33,36.37,0,0,46.5,4.69,,,
1994,srilanka,372,2,291,8,Feb-35,44.5,0,0,57,4.68,,,
1994-95,PAKISTAN,342,2,267,6,Apr-32,17.47,3,0,21.95,4.77,,,
1994-95,South-Africa,461,1,367,21,Apr-62,23.66,1,0,25,5.68,,,
1995-96,Singapore,150,0,142,6,Mar-38,20.55,0,0,21.33,5.78,,,
1995-96,New-Zealand,192,4,185,9,Mar-44,35.66,0,0,39.33,5.44,,,
1995-96,UAE,354,4,321,9,26-Apr,16.9,1,0,24,4.22,,,
1995-96,PAKISTAN,264,1,67,11,Feb-67,33.5,0,0,30,6.7,,,
1995-96,India,60,1,160,2,Feb-51,53.33,0,0,70,4.57,,,
1996,Canada,210,1,131,3,Feb-49,32.75,0,0,39,5.03,,,
1996,England,156,5,381,4,Jun-44,15.14,0,1,22.9,3.96,,,
1996-97,UAE,481,5,192,21,Apr-43,17.45,1,0,27,3.87,,,
1996-97,AUSTRIALIA,297,0,80,11,Feb-32,20,0,0,22.5,5.33,,,
1996-97,PAKISTAN,90,2,180,4,May-52,20,0,1,24.55,4.88,,,
1996-97,Kenya,221,0,53,9,,,,,,5.3,,,
1997-98,UAE,60,2,240,0,21-Feb,30,0,0,37.75,4.76,,,
1997-98,PAKISTAN,302,1,94,8,Jan-39,94,0,0,108,5.22,,,
1997-98,Zinbabwe,108,2,347,1,Feb-41,49.57,0,0,48,6.19,,,
1997-98,South-Africa,336,2,49,7,Feb-49,24.5,0,0,24,6.12,,,
1998-99,PAKISTAN,48,1,76,2,Jan-32,38,0,0,48,4.75,,,
1999,Canada,96,22,36,2,Feb-36,18,0,0,27,4,,,
1999,England,54,3,225,2,25-Feb,45,0,0,52.6,5.13,,,
1999-00,AUSTRIALIA,263,2,223,5,Feb-34,55.75,0,0,81,4.12,,,
1999-00,West-Indies,324,2,175,4,31-May,13.46,1,1,19.38,4.16,,,
1999-00,UAE,252,3,89,13,22-Feb,22.25,0,0,29.5,4.52,,,
2000,Singapore,118,2,62,4,11-Feb,31,0,0,45,4.13,,,
2000,srilanka,90,2,212,2,Apr-49,26.5,1,0,29.25,5.43,,,
2000-01,UAE,234,2,66,8,Jan-66,66,0,0,60,5.09,,,
2000-01,PAKISTAN,60,0,219,1,Mar-66,31.28,0,0,36.85,4.76,,,
2000-01,New-Zealand,258,2,219,7,Jul-36,12.88,0,0,16.23,3.76,,,
2001,England,276,2,94,17,Jan-51,94,0,2,150,4.88,,,
2001-02,Bangladesh,150,6,515,1,31-Mar,22.39,0,0,27.52,4.71,,,
2001-02,UAE,633,4,99,23,Feb-45,24.75,0,0,31.5,5.61,,,
2002,PAKISTAN,126,2,177,4,Feb-31,35.4,0,0,37.8,4.65,,,
2002,Kenya,189,1,107,5,Jan-41,107,0,0,138,5.28,,,
2002,AUSTRIALIA,138,1,206,1,May-38,18.72,0,1,21.27,5.09,,,
2002,Morocco,234,2,107,11,Mar-50,26.75,0,0,31.5,5.62,,,
2002-03,Zinbabwe,126,2,416,4,Apr-41,24.47,1,0,26.11,4.25,,,
2002-03,South-Africa,444,7,51,17,14-Feb,25.5,0,0,36,5.29,,,
2002-03,srilanka,72,3,51,2,,,,,,,,,
